RepoName,RepoType,GitHubURL
duxuhao/Feature-Selection,Applied,https://github.com/duxuhao/Feature-Selection.git
kakaobrain/torchgpipe,Applied,https://github.com/kakaobrain/torchgpipe.git
ternaus/robot-surgery-segmentation,Applied,https://github.com/ternaus/robot-surgery-segmentation.git
knorth55/chainer-dense-fusion,Applied,https://github.com/knorth55/chainer-dense-fusion.git
scikit-learn-contrib/mimic,Tool,https://github.com/scikit-learn-contrib/mimic.git
AllenInstitute/mouse_connectivity_models,Applied,https://github.com/AllenInstitute/mouse_connectivity_models.git
jfilter/split-folders,Applied,https://github.com/jfilter/split-folders.git
apacha/MusicScoreClassifier,Applied,https://github.com/apacha/MusicScoreClassifier.git
hoxo-m/densratio_py,Tool,https://github.com/hoxo-m/densratio_py.git
CSAILVision/gandissect,Applied,https://github.com/CSAILVision/gandissect.git
nengo/nengo-dl,Applied,https://github.com/nengo/nengo-dl.git
comtravo/ctparse,Applied,https://github.com/comtravo/ctparse.git
gbolmier/funk-svd,Applied,https://github.com/gbolmier/funk-svd.git
qubvel/efficientnet,Applied,https://github.com/qubvel/efficientnet.git
HunterMcGushion/hyperparameter_hunter,Applied,https://github.com/HunterMcGushion/hyperparameter_hunter.git
5hirish/adam_qas,Applied,https://github.com/5hirish/adam_qas.git
fnl/syntok,Applied,https://github.com/fnl/syntok.git
vgrabovets/multi_rake,Applied,https://github.com/vgrabovets/multi_rake.git
kfoynt/LocalGraphClustering,Applied,https://github.com/kfoynt/LocalGraphClustering.git
JasonKessler/scattertext,Applied,https://github.com/JasonKessler/scattertext.git
justusschock/shapenet,Applied,https://github.com/justusschock/shapenet.git
eyounx/ZOOpt,Applied,https://github.com/eyounx/ZOOpt.git
CyberZHG/keras-word-char-embd,Applied,https://github.com/CyberZHG/keras-word-char-embd.git
akoumjian/datefinder,Tool,https://github.com/akoumjian/datefinder.git
Erotemic/netharn,Applied,https://github.com/Erotemic/netharn.git
pandoraboxchain/pyrrha-pynode,Applied,https://github.com/pandoraboxchain/pyrrha-pynode.git
marl/openl3,Applied,https://github.com/marl/openl3.git
jcreinhold/synthtorch,Applied,https://github.com/jcreinhold/synthtorch.git
miguelvr/dropblock,Applied,https://github.com/miguelvr/dropblock.git
CyberZHG/keras-pos-embd,Applied,https://github.com/CyberZHG/keras-pos-embd.git
polyaxon/polyaxon-schemas,Tool,https://github.com/polyaxon/polyaxon-schemas.git
IBM/MAX-Speech-to-Text-Converter,Applied,https://github.com/IBM/MAX-Speech-to-Text-Converter.git
arm61/pylj,Applied,https://github.com/arm61/pylj.git
lopuhin/transformer-lm,Applied,https://github.com/lopuhin/transformer-lm.git
poldracklab/mriqc,Applied,https://github.com/poldracklab/mriqc.git
philgooch/abbreviation-extraction,Applied,https://github.com/philgooch/abbreviation-extraction.git
soaxelbrooke/python-bpe,Applied,https://github.com/soaxelbrooke/python-bpe.git
