RepoName,RepoType,GitHubURL
AugurProject/augur-core,NonML,https://github.com/AugurProject/augur-core.git
Cloud-CV/Fabrik,NonML,https://github.com/Cloud-CV/Fabrik.git
Doist/bitmapist,NonML,https://github.com/Doist/bitmapist.git
EdjoLabs/image-match,NonML,https://github.com/EdjoLabs/image-match.git
FontCustom/fontcustom,NonML,https://github.com/FontCustom/fontcustom.git
HouzuoGuo/tiedot,NonML,https://github.com/HouzuoGuo/tiedot.git
HuberTRoy/MusicBox,NonML,https://github.com/HuberTRoy/MusicBox.git
JinnLynn/genpac,NonML,https://github.com/JinnLynn/genpac.git
Kobzol/hardware-effects,NonML,https://github.com/Kobzol/hardware-effects.git
KonstantinSchubert/zero,NonML,https://github.com/KonstantinSchubert/zero.git
MagicStack/MagicPython,NonML,https://github.com/MagicStack/MagicPython.git
Maratyszcza/NNPACK,NonML,https://github.com/Maratyszcza/NNPACK.git
Marten4n6/EvilOSX,NonML,https://github.com/Marten4n6/EvilOSX.git
Mimino666/langdetect,NonML,https://github.com/Mimino666/langdetect.git
MongoEngine/flask-mongoengine,NonML,https://github.com/MongoEngine/flask-mongoengine.git
NetEaseGame/ATX,NonML,https://github.com/NetEaseGame/ATX.git
P0cL4bs/WiFi-Pumpkin,NonML,https://github.com/P0cL4bs/WiFi-Pumpkin.git
RJT1990/pyflux,NonML,https://github.com/RJT1990/pyflux.git
Shougo/unite.vim,NonML,https://github.com/Shougo/unite.vim.git
SublimeText/CTags,NonML,https://github.com/SublimeText/CTags.git
Swall0w/torchstat,NonML,https://github.com/Swall0w/torchstat.git
Tencent/PhoenixGo,NonML,https://github.com/Tencent/PhoenixGo.git
Tencent/phxpaxos,NonML,https://github.com/Tencent/phxpaxos.git
Workiva/go-datastructures,NonML,https://github.com/Workiva/go-datastructures.git
Wramberg/TerminalView,NonML,https://github.com/Wramberg/TerminalView.git
YadiraF/PRNet,NonML,https://github.com/YadiraF/PRNet.git
aaronjanse/asciidots,NonML,https://github.com/aaronjanse/asciidots.git
aergoio/litetree,NonML,https://github.com/aergoio/litetree.git
ajalt/fuckitpy,NonML,https://github.com/ajalt/fuckitpy.git
alexazhou/VeryNginx,NonML,https://github.com/alexazhou/VeryNginx.git
amoffat/snake,NonML,https://github.com/amoffat/snake.git
amonapp/amon,NonML,https://github.com/amonapp/amon.git
ansible/ansible-container,NonML,https://github.com/ansible/ansible-container.git
aploium/zmirror,NonML,https://github.com/aploium/zmirror.git
areski/python-nvd3,NonML,https://github.com/areski/python-nvd3.git
asaini/Apriori,NonML,https://github.com/asaini/Apriori.git
awslabs/aws-shell,NonML,https://github.com/awslabs/aws-shell.git
baidu/tera,NonML,https://github.com/baidu/tera.git
benhamner/Metrics,NonML,https://github.com/benhamner/Metrics.git
binarydud/pyres,NonML,https://github.com/binarydud/pyres.git
blei-lab/edward,NonML,https://github.com/blei-lab/edward.git
brainsik/virtualenv-burrito,NonML,https://github.com/brainsik/virtualenv-burrito.git
brave/browser-laptop,NonML,https://github.com/brave/browser-laptop.git
cemoody/lda2vec,NonML,https://github.com/cemoody/lda2vec.git
certsocietegenerale/FIR,NonML,https://github.com/certsocietegenerale/FIR.git
citronneur/rdpy,NonML,https://github.com/citronneur/rdpy.git
clarkduvall/serpy,NonML,https://github.com/clarkduvall/serpy.git
cloudnativelabs/kube-shell,NonML,https://github.com/cloudnativelabs/kube-shell.git
cmu-db/peloton,NonML,https://github.com/cmu-db/peloton.git
coderholic/django-cities,NonML,https://github.com/coderholic/django-cities.git
csvoss/onelinerizer,NonML,https://github.com/csvoss/onelinerizer.git
cvhciKIT/sloth,NonML,https://github.com/cvhciKIT/sloth.git
debois/elm-mdl,NonML,https://github.com/debois/elm-mdl.git
dialogflow/dialogflow-python-client,NonML,https://github.com/dialogflow/dialogflow-python-client.git
dingdang-robot/dingdang-robot,NonML,https://github.com/dingdang-robot/dingdang-robot.git
djacobs/PyAPNs,NonML,https://github.com/djacobs/PyAPNs.git
django-cache-machine/django-cache-machine,NonML,https://github.com/django-cache-machine/django-cache-machine.git
douban/dpark,NonML,https://github.com/douban/dpark.git
dropbox/godropbox,NonML,https://github.com/dropbox/godropbox.git
