ProjectName,ProjectType
10up/classifai,Applied
2knal/Honesty,Applied
5hirish/adam_qas,Applied
921kiyo/3d-dl,Applied
a-martyn/ISL-python,Applied
a-slide/pycoQC,Applied
A2Zadeh/TensorFusionNetwork,Applied
aaronlam88/cmpe295,Applied
aashutoshrathi/vision,Applied
abachaa/MEDIQA2019,Applied
abdullah-K/face-recognition,Applied
abdullahselek/koolsla,Applied
abdullahselek/spampy,Applied
abhayspawar/featexp,Applied
Abhishekmamidi123/Time-Series-Forecasting,Applied
abojchevski/graph2gauss,Applied
abojchevski/paican,Applied
AbrahamSanders/seq2seq-chatbot,Applied
abreheret/PixelAnnotationTool,Applied
acaglayan/exploitCNN-RNN,Applied
Accagain2014/TextMatching,Applied
Acellera/moleculekit,Applied
acht7111020/ADLxMLDS2017,Applied
ad12/DOSMA,Applied
adamqqqplay/dota2ai,Applied
adessoAG/BrainySnake,Applied
aditya-vora/FCHD-Fully-Convolutional-Head-Detector,Applied
AdivarekarBhumit/ID-Card-Segmentation,Applied
adiyoss/GCommandsPytorch,Applied
adler-j/learned_primal_dual,Applied
adobe/antialiased-cnns,Applied
advaitsave/Multiclass-Semantic-Segmentation-CamVid,Applied
adzialocha/tomomibot,Applied
aerdem4/kaggle-quora-dup,Applied
AFAgarap/gru-svm,Applied
AFAgarap/wisconsin-breast-cancer,Applied
afperezm/acoustic-images-distillation,Applied
afsalashyana/FakeImageDetection,Applied
Aftaab99/OfflineSignatureVerification,Applied
agakshat/visualdialog-pytorch,Applied
agiletechvn/opencv-starterkit,Applied
agoose77/GOAP,Applied
agusgun/FakeImageDetector,Applied
ahmdtaha/FineGrainedVisualRecognition,Applied
ahmdtaha/tf_retrieval_baseline,Applied
ahmedbesbes/character-based-cnn,Applied
AhmedImtiazPrio/Keras-AudioDataGenerator,Applied
ahmetaa/zemberek-nlp,Applied
ahmetgunduz/Real-time-GesRec,Applied
AhmetHamzaEmra/Intelegent_Lock,Applied
ahmetozlu/color_recognition,Applied
ai-med/nn-common-modules,Applied
ai-med/QuickNATv2,Applied
ai-med/squeeze_and_excitation,Applied
ai4ce/DeepMapping,Applied
ai4iacts/hexagdly,Applied
AiAiHealthcare/ProjectAiAi,Applied
aichaos/rivescript-go,Applied
aiengineer/NUSCCF,Applied
aimagelab/novelty-detection,Applied
aiops-project/AIOPS_PLATFORM,Applied
aiqm/torchani,Applied
airalcorn2/RankNet,Applied
aistairc/market-reporter,Applied
aitoralmeida/spanish_word2vec,Applied
ajaysub110/A-Neural-Compositional-Paradigm-for-Image-Captioning,Applied
akanimax/BMSG-GAN,Applied
AkariAsai/extractive_rc_by_runtime_mt,Applied
akashlevy/Deep-Learn-Oil,Applied
akashmjn/cs224n-gpu-that-talks,Applied
akshaybahadur21/BreastCancer_Classification,Applied
akshaynagpal/w2n,Applied
alan-turing-institute/MLJBase.jl,Applied
albarji/proxTV,Applied
AlbertSuarez/donework,Applied
aldro61/kover,Applied
aldro61/mmit,Applied
alecGraves/BVAE-tf,Applied
alecwangcq/EigenDamage-Pytorch,Applied
aleju/imgaug,Applied
AlenK123/V.A.Silly,Applied
alephdata/fingerprints,Applied
AlessioTonioni/tf-objdetector,Applied
alex04072000/CyclicGen,Applied
alexander-poon/legisPy,Applied
alexander-rakhlin/ICIAR2018,Applied
alexarnimueller/som,Applied
AlexEMG/DeepLabCut,Applied
AlexeyAB/yolo2_light,Applied
AlexGidiotis/Document-Classifier-LSTM,Applied
AlexGidiotis/Multimodal-Gesture-Recognition-with-LSTMs-and-CTC,Applied
AlexiaJM/Deep-learning-with-cats,Applied
AlexIoannides/kubernetes-ml-ops,Applied
AlexIoannides/pymc-example-project,Applied
alexjc/neural-imagen,Applied
alexlenail/NN-SVG,Applied
AlexMa011/pytorch-polygon-rnn,Applied
AliAbbasi/Numerically-Stable-Cross-Entropy-Loss-Function-Tensorflow,Applied
aliakbar09a/AI_plays_snake,Applied
AliaksandrSiarohin/monkey-net,Applied
aligholami/SimpNet-Tensorflow,Applied
alina1021/facial_expression_transfer,Applied
AliOsm/arabic-text-diacritization,Applied
Alireza-Akhavan/deep-face-recognition,Applied
alirezamika/evostra,Applied
Alisa-lisa/nn_generator,Applied
alldbi/Factorized-Spatial-Embeddings,Applied
allenai/beaker,Applied
allenai/comb_dist_direct_relex,Applied
allenai/scibert,Applied
allenai/scispacy,Applied
AllenCellModeling/pytorch_integrated_cell,Applied
AllenInstitute/mouse_connectivity_models,Applied
AlpacaDB/backlight,Applied
alvarowolfx/gcloud-iot-edge-tensorflow,Applied
alvations/pywsd,Applied
alvations/sacremoses,Applied
alvinwan/timefhuman,Applied
alyosama/virnet,Applied
amalF/Kervolution,Applied
amanbasu/3d-prostate-segmentation,Applied
