fullName,loc_size,url,size_mb,commitsCountInDefaultBranchAfterGHAAdaptionPeriod_ghapi,ci_workflows_100plus_runs,category,isToyOrTutorial
public-apis/public-apis,small,https://github.com/public-apis/public-apis,494.800,2076,2,NonML,1
vuejs/vue,medium,https://github.com/vuejs/vue,3.192.500,192,1,NonML,0
trekhleb/javascript-algorithms,medium,https://github.com/trekhleb/javascript-algorithms,1.323.600,164,1,NonML,1
twbs/bootstrap,medium,https://github.com/twbs/bootstrap,23.119.500,1717,3,NonML,0
ohmyzsh/ohmyzsh,medium,https://github.com/ohmyzsh/ohmyzsh,1.076.000,969,1,NonML,0
TheAlgorithms/Python,medium,https://github.com/TheAlgorithms/Python,1.348.200,739,2,NonML,1
flutter/flutter,very large,https://github.com/flutter/flutter,26.003.700,9597,1,NonML,0
Significant-Gravitas/Auto-GPT,medium,https://github.com/Significant-Gravitas/Auto-GPT,791.300,601,2,Tool,0
ytdl-org/youtube-dl,large,https://github.com/ytdl-org/youtube-dl,6.499.700,368,1,NonML,0
avelino/awesome-go,small,https://github.com/avelino/awesome-go,1.028.000,872,1,NonML,1
huggingface/transformers,large,https://github.com/huggingface/transformers,14.417.100,7436,6,Tool,0
facebook/create-react-app,medium,https://github.com/facebook/create-react-app,2.340.500,142,1,NonML,0
denoland/deno,large,https://github.com/denoland/deno,10.233.500,4053,1,NonML,0
ant-design/ant-design,large,https://github.com/ant-design/ant-design,15.891.200,4699,2,NonML,0
puppeteer/puppeteer,medium,https://github.com/puppeteer/puppeteer,48.156.700,1429,1,NonML,0
AUTOMATIC1111/stable-diffusion-webui,medium,https://github.com/AUTOMATIC1111/stable-diffusion-webui,3.056.600,2199,1,Applied,0
django/django,large,https://github.com/django/django,23.841.100,2448,1,NonML,0
gin-gonic/gin,medium,https://github.com/gin-gonic/gin,322.700,254,1,NonML,0
tailwindlabs/tailwindcss,very large,https://github.com/tailwindlabs/tailwindcss,9.394.700,1592,3,NonML,0
sveltejs/svelte,medium,https://github.com/sveltejs/svelte,9.189.700,1061,1,NonML,0
gohugoio/hugo,large,https://github.com/gohugoio/hugo,11.531.600,1317,1,NonML,0
neovim/neovim,large,https://github.com/neovim/neovim,24.780.300,8610,2,NonML,0
moby/moby,very large,https://github.com/moby/moby,19.798.600,2399,2,NonML,0
netdata/netdata,large,https://github.com/netdata/netdata,13.254.900,4146,10,NonML,0
pallets/flask,medium,https://github.com/pallets/flask,1.021.000,1007,2,NonML,0
expressjs/express,medium,https://github.com/expressjs/express,909.600,174,1,NonML,0
jaywcjlove/awesome-mac,very small,https://github.com/jaywcjlove/awesome-mac,1.032.200,371,1,NonML,1
chartjs/Chart.js,medium,https://github.com/chartjs/Chart.js,4.235.900,678,1,NonML,0
coder/code-server,small,https://github.com/coder/code-server,5.200.400,1990,3,NonML,0
reduxjs/redux,small,https://github.com/reduxjs/redux,2.830.200,589,1,NonML,0
protocolbuffers/protobuf,large,https://github.com/protocolbuffers/protobuf,12.613.000,3832,1,NonML,0
tiangolo/fastapi,medium,https://github.com/tiangolo/fastapi,1.713.700,1628,1,NonML,0
socketio/socket.io,medium,https://github.com/socketio/socket.io,1.718.500,152,1,NonML,0
vitejs/vite,medium,https://github.com/vitejs/vite,3.309.600,3392,1,NonML,0
anuraghazra/github-readme-stats,small,https://github.com/anuraghazra/github-readme-stats,241.900,399,1,NonML,0
apache/echarts,large,https://github.com/apache/echarts,22.755.000,1653,1,NonML,0
h5bp/html5-boilerplate,very small,https://github.com/h5bp/html5-boilerplate,2.257.700,445,1,NonML,0
strapi/strapi,large,https://github.com/strapi/strapi,42.229.100,15327,1,NonML,0
rails/rails,large,https://github.com/rails/rails,26.076.800,8104,1,NonML,0
junegunn/fzf,medium,https://github.com/junegunn/fzf,508.200,382,2,NonML,0
syncthing/syncthing,large,https://github.com/syncthing/syncthing,12.545.600,351,1,NonML,0
apache/superset,large,https://github.com/apache/superset,45.202.000,7611,12,Tool,0
microsoft/playwright,large,https://github.com/microsoft/playwright,15.092.200,6466,6,NonML,0
hoppscotch/hoppscotch,medium,https://github.com/hoppscotch/hoppscotch,6.772.600,2035,1,NonML,0
remix-run/react-router,medium,https://github.com/remix-run/react-router,2.162.800,1350,1,NonML,0
psf/requests,small,https://github.com/psf/requests,1.288.500,130,1,NonML,0
excalidraw/excalidraw,medium,https://github.com/excalidraw/excalidraw,4.245.800,1849,1,NonML,0
prometheus/prometheus,large,https://github.com/prometheus/prometheus,16.418.200,2810,1,NonML,0
yt-dlp/yt-dlp,large,https://github.com/yt-dlp/yt-dlp,4.438.400,3004,3,NonML,0
obsproject/obs-studio,large,https://github.com/obsproject/obs-studio,6.796.400,3554,1,NonML,0
google/guava,large,https://github.com/google/guava,42.196.900,605,1,NonML,0
caddyserver/caddy,medium,https://github.com/caddyserver/caddy,1.709.400,680,3,NonML,0
scrapy/scrapy,medium,https://github.com/scrapy/scrapy,2.450.600,948,2,NonML,0
localstack/localstack,large,https://github.com/localstack/localstack,2.734.000,2073,2,NonML,0
jekyll/jekyll,medium,https://github.com/jekyll/jekyll,5.589.800,444,1,NonML,0
